序号,本地ID,中文名称,上游类型,运行分类,可装备,占装备槽,基础装备ID,合成组件ID,图标相对路径,声明SHA256,本地SHA256,交接三方一致,重复簇大小,重复IDs,重复Names,字节,宽,高,图像来源URL,来源页面URL,来源总表修订,远程HTTP,远程SHA256,远程=本地,尺寸一致,单页来源状态,页面标题,视觉联系表,视觉格位,视觉复核,图标身份结论,来源层级,冲突/边界,核对结果
11,currency_wars_equipment_011,穿刺死棘之枪,命运改件,fate_component,是,是,,,assets/currency_wars_equipment_icons/currency_wars_equipment_011.png,b76cf23e2e2a70f706b61150374fec2a60f2282f18256467d1d8d90591b0a531,b76cf23e2e2a70f706b61150374fec2a60f2282f18256467d1d8d90591b0a531,true,1,011,穿刺死棘之枪,29153,128,128,https://patchwiki.biligame.com/images/sr/7/7b/rh56dh7ooqd569qbd3ouybjic8b0dlw.png,https://wiki.biligame.com/sr/%E7%A9%BF%E5%88%BA%E6%AD%BB%E6%A3%98%E4%B9%8B%E6%9E%AA,99085,200,b76cf23e2e2a70f706b61150374fec2a60f2282f18256467d1d8d90591b0a531,true,true,HTTP 567（限流/反爬）,,equipment-contact-01.png,第3行第1列,逐项可见；未见空白、破损、异常裁切或相邻错位,本地哈希唯一；未发现图标与名称错位,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,单条详情页本轮受限流/反爬影响，未获得独立页面实证,图标/名称/来源无已发现冲突
12,currency_wars_equipment_012,罪孽王冠,命运改件,fate_component,是,是,,,assets/currency_wars_equipment_icons/currency_wars_equipment_012.png,492d69c4b540dc8354045387b84d3a94ff655c20f3acd373be398708bd4d85d9,492d69c4b540dc8354045387b84d3a94ff655c20f3acd373be398708bd4d85d9,true,1,012,罪孽王冠,32913,128,128,https://patchwiki.biligame.com/images/sr/9/9c/iuehtsznpoffsv35v33zm8ylit3wic6.png,https://wiki.biligame.com/sr/%E7%BD%AA%E5%AD%BD%E7%8E%8B%E5%86%A0,99085,200,492d69c4b540dc8354045387b84d3a94ff655c20f3acd373be398708bd4d85d9,true,true,HTTP 567（限流/反爬）,,equipment-contact-01.png,第3行第2列,逐项可见；未见空白、破损、异常裁切或相邻错位,本地哈希唯一；未发现图标与名称错位,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,单条详情页本轮受限流/反爬影响，未获得独立页面实证,图标/名称/来源无已发现冲突
13,currency_wars_equipment_013,诅咒•圣杯,命运改件,fate_component,是,是,,,assets/currency_wars_equipment_icons/currency_wars_equipment_013.png,9c8bafb41cc081b61811196ad180dce749b04c54725fde5d09a3ab0766741780,9c8bafb41cc081b61811196ad180dce749b04c54725fde5d09a3ab0766741780,true,3,002；003；013,分裂•圣杯；圣杯；诅咒•圣杯,33508,128,128,https://patchwiki.biligame.com/images/sr/b/b7/a898nbnuv6ywty7ktmu4wepm8nkdqep.png,https://wiki.biligame.com/sr/%E8%AF%85%E5%92%92%E2%80%A2%E5%9C%A3%E6%9D%AF,99085,200,9c8bafb41cc081b61811196ad180dce749b04c54725fde5d09a3ab0766741780,true,true,页面实证通过,诅咒•圣杯 - 崩坏：星穹铁道WIKI_BWIKI_哔哩哔哩,equipment-contact-01.png,第3行第3列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
14,currency_wars_equipment_014,诅咒•天地乖离开辟之星,命运改件,fate_component,是,是,,,assets/currency_wars_equipment_icons/currency_wars_equipment_014.png,cc6f1dc7a6bca0646026af6139c43c658e6182fbd686040f58dcd24de89d2963,cc6f1dc7a6bca0646026af6139c43c658e6182fbd686040f58dcd24de89d2963,true,3,004；007；014,天地乖离开辟之星；极•天地乖离开辟之星；诅咒•天地乖离开辟之星,32624,128,128,https://patchwiki.biligame.com/images/sr/b/bc/jl72tex7wlvns8yo9xeqj1u1qbo67zw.png,https://wiki.biligame.com/sr/%E8%AF%85%E5%92%92%E2%80%A2%E5%A4%A9%E5%9C%B0%E4%B9%96%E7%A6%BB%E5%BC%80%E8%BE%9F%E4%B9%8B%E6%98%9F,99085,200,cc6f1dc7a6bca0646026af6139c43c658e6182fbd686040f58dcd24de89d2963,true,true,页面实证通过,诅咒•天地乖离开辟之星 - 崩坏：星穹铁道WIKI_BWIKI_哔哩哔哩,equipment-contact-01.png,第3行第4列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
15,currency_wars_equipment_015,诅咒•宝石剑泽尔里奇,命运改件,fate_component,是,是,,,assets/currency_wars_equipment_icons/currency_wars_equipment_015.png,01b3a550d1ab3f78d27ba856e15c50a3c05c399f9a281ae4ad7352dced994f0f,01b3a550d1ab3f78d27ba856e15c50a3c05c399f9a281ae4ad7352dced994f0f,true,3,005；008；015,宝石剑泽尔里奇；极•宝石剑泽尔里奇；诅咒•宝石剑泽尔里奇,26921,128,128,https://patchwiki.biligame.com/images/sr/4/44/7vt0o74f8dyheiguftbnclyuretmfc1.png,https://wiki.biligame.com/sr/%E8%AF%85%E5%92%92%E2%80%A2%E5%AE%9D%E7%9F%B3%E5%89%91%E6%B3%BD%E5%B0%94%E9%87%8C%E5%A5%87,99085,200,01b3a550d1ab3f78d27ba856e15c50a3c05c399f9a281ae4ad7352dced994f0f,true,true,页面实证通过,诅咒•宝石剑泽尔里奇 - 崩坏：星穹铁道WIKI_BWIKI_哔哩哔哩,equipment-contact-01.png,第3行第5列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
16,currency_wars_equipment_016,诅咒•干将莫邪,命运改件,fate_component,是,是,,,assets/currency_wars_equipment_icons/currency_wars_equipment_016.png,8acf2cd30d8767f494c80a77d6b34df19bde721eddcbdddfcf4002161122e1ca,8acf2cd30d8767f494c80a77d6b34df19bde721eddcbdddfcf4002161122e1ca,true,3,006；009；016,干将莫邪；极•干将莫邪；诅咒•干将莫邪,31431,128,128,https://patchwiki.biligame.com/images/sr/a/a7/ggxm1iskstxe4qlaxb4g2mk6q9v8r1g.png,https://wiki.biligame.com/sr/%E8%AF%85%E5%92%92%E2%80%A2%E5%B9%B2%E5%B0%86%E8%8E%AB%E9%82%AA,99085,200,8acf2cd30d8767f494c80a77d6b34df19bde721eddcbdddfcf4002161122e1ca,true,true,页面实证通过,诅咒•干将莫邪 - 崩坏：星穹铁道WIKI_BWIKI_哔哩哔哩,equipment-contact-01.png,第4行第1列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
17,currency_wars_equipment_017,诅咒•阿瓦隆,命运改件,fate_component,是,是,,,assets/currency_wars_equipment_icons/currency_wars_equipment_017.png,f3bed270b62a20ee5b4fd20767f8490872a12d701bdbd3f86783fbdf0128fb20,f3bed270b62a20ee5b4fd20767f8490872a12d701bdbd3f86783fbdf0128fb20,true,3,010；017；020,极•阿瓦隆；诅咒•阿瓦隆；阿瓦隆,30646,128,128,https://patchwiki.biligame.com/images/sr/9/99/iht3g55xaq1r666csbnjpbfc7onrud7.png,https://wiki.biligame.com/sr/%E8%AF%85%E5%92%92%E2%80%A2%E9%98%BF%E7%93%A6%E9%9A%86,99085,200,f3bed270b62a20ee5b4fd20767f8490872a12d701bdbd3f86783fbdf0128fb20,true,true,页面实证通过,诅咒•阿瓦隆 - 崩坏：星穹铁道WIKI_BWIKI_哔哩哔哩,equipment-contact-01.png,第4行第2列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
18,currency_wars_equipment_020,阿瓦隆,命运改件,fate_component,是,是,,,assets/currency_wars_equipment_icons/currency_wars_equipment_020.png,f3bed270b62a20ee5b4fd20767f8490872a12d701bdbd3f86783fbdf0128fb20,f3bed270b62a20ee5b4fd20767f8490872a12d701bdbd3f86783fbdf0128fb20,true,3,010；017；020,极•阿瓦隆；诅咒•阿瓦隆；阿瓦隆,30646,128,128,https://patchwiki.biligame.com/images/sr/4/47/iht3g55xaq1r666csbnjpbfc7onrud7.png,https://wiki.biligame.com/sr/%E9%98%BF%E7%93%A6%E9%9A%86,99085,200,f3bed270b62a20ee5b4fd20767f8490872a12d701bdbd3f86783fbdf0128fb20,true,true,HTTP 567（限流/反爬）,,equipment-contact-01.png,第4行第3列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
19,currency_wars_equipment_021,欢愉星徽,流派星徽,style_emblem,是,是,,currency_wars_equipment_084；currency_wars_equipment_038,assets/currency_wars_equipment_icons/currency_wars_equipment_021.png,5790f420123a8c5c13f73666891d70bc7384c7061d990ecbc7071d6ebb073f12,5790f420123a8c5c13f73666891d70bc7384c7061d990ecbc7071d6ebb073f12,true,1,021,欢愉星徽,33358,128,128,https://patchwiki.biligame.com/images/sr/e/e8/tstujhmze6hmqvrfdkz87iwad9x9ea1.png,https://wiki.biligame.com/sr/%E6%AC%A2%E6%84%89%E6%98%9F%E5%BE%BD,99085,200,5790f420123a8c5c13f73666891d70bc7384c7061d990ecbc7071d6ebb073f12,true,true,HTTP 567（限流/反爬）,,equipment-contact-01.png,第4行第4列,逐项可见；未见空白、破损、异常裁切或相邻错位,本地哈希唯一；未发现图标与名称错位,BWIKI oldid=99085+PatchWiki；米游社官方V4.2直接支持欢愉星徽名称/效果（不提供单项图标）,单条详情页本轮受限流/反爬影响，未获得独立页面实证,图标/名称/来源无已发现冲突
20,currency_wars_equipment_022,分身墨镜,骇客改件,hacking_component,是,否,,,assets/currency_wars_equipment_icons/currency_wars_equipment_022.png,f0441e17ce30349f9454dc72c5730e631a70843499c9b1692d410783a8b914ea,f0441e17ce30349f9454dc72c5730e631a70843499c9b1692d410783a8b914ea,true,2,022；023,分身墨镜；分身墨镜Max,26569,128,128,https://patchwiki.biligame.com/images/sr/1/1a/emh3rn2idwueurtdyfysii3x8catb5o.png,https://wiki.biligame.com/sr/%E5%88%86%E8%BA%AB%E5%A2%A8%E9%95%9C,99085,200,f0441e17ce30349f9454dc72c5730e631a70843499c9b1692d410783a8b914ea,true,true,HTTP 567（限流/反爬）,,equipment-contact-01.png,第4行第5列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方V4.2仅支持骇客改件类别语义，不逐项支持16个子名称/图标,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
21,currency_wars_equipment_023,分身墨镜Max,骇客改件,hacking_component,是,否,,,assets/currency_wars_equipment_icons/currency_wars_equipment_023.png,f0441e17ce30349f9454dc72c5730e631a70843499c9b1692d410783a8b914ea,f0441e17ce30349f9454dc72c5730e631a70843499c9b1692d410783a8b914ea,true,2,022；023,分身墨镜；分身墨镜Max,26569,128,128,https://patchwiki.biligame.com/images/sr/8/87/emh3rn2idwueurtdyfysii3x8catb5o.png,https://wiki.biligame.com/sr/%E5%88%86%E8%BA%AB%E5%A2%A8%E9%95%9CMax,99085,200,f0441e17ce30349f9454dc72c5730e631a70843499c9b1692d410783a8b914ea,true,true,HTTP 567（限流/反爬）,,equipment-contact-02.png,第1行第1列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方V4.2仅支持骇客改件类别语义，不逐项支持16个子名称/图标,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
22,currency_wars_equipment_024,扑满病毒,骇客改件,hacking_component,是,否,,,assets/currency_wars_equipment_icons/currency_wars_equipment_024.png,a1cb19ac93cdcdefe2cf4d4f98e32770f1b60e047b33a25e9e2daee54912419c,a1cb19ac93cdcdefe2cf4d4f98e32770f1b60e047b33a25e9e2daee54912419c,true,3,024；025；026,扑满病毒；扑满病毒Max；扑满病毒Pro,22471,128,128,https://patchwiki.biligame.com/images/sr/9/90/b7cdaze07091ukd588kbyjid7md76l7.png,https://wiki.biligame.com/sr/%E6%89%91%E6%BB%A1%E7%97%85%E6%AF%92,99085,200,a1cb19ac93cdcdefe2cf4d4f98e32770f1b60e047b33a25e9e2daee54912419c,true,true,HTTP 567（限流/反爬）,,equipment-contact-02.png,第1行第2列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方V4.2仅支持骇客改件类别语义，不逐项支持16个子名称/图标,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
23,currency_wars_equipment_025,扑满病毒Max,骇客改件,hacking_component,是,否,,,assets/currency_wars_equipment_icons/currency_wars_equipment_025.png,a1cb19ac93cdcdefe2cf4d4f98e32770f1b60e047b33a25e9e2daee54912419c,a1cb19ac93cdcdefe2cf4d4f98e32770f1b60e047b33a25e9e2daee54912419c,true,3,024；025；026,扑满病毒；扑满病毒Max；扑满病毒Pro,22471,128,128,https://patchwiki.biligame.com/images/sr/d/d0/b7cdaze07091ukd588kbyjid7md76l7.png,https://wiki.biligame.com/sr/%E6%89%91%E6%BB%A1%E7%97%85%E6%AF%92Max,99085,200,a1cb19ac93cdcdefe2cf4d4f98e32770f1b60e047b33a25e9e2daee54912419c,true,true,HTTP 567（限流/反爬）,,equipment-contact-02.png,第1行第3列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方V4.2仅支持骇客改件类别语义，不逐项支持16个子名称/图标,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
24,currency_wars_equipment_026,扑满病毒Pro,骇客改件,hacking_component,是,否,,,assets/currency_wars_equipment_icons/currency_wars_equipment_026.png,a1cb19ac93cdcdefe2cf4d4f98e32770f1b60e047b33a25e9e2daee54912419c,a1cb19ac93cdcdefe2cf4d4f98e32770f1b60e047b33a25e9e2daee54912419c,true,3,024；025；026,扑满病毒；扑满病毒Max；扑满病毒Pro,22471,128,128,https://patchwiki.biligame.com/images/sr/2/23/b7cdaze07091ukd588kbyjid7md76l7.png,https://wiki.biligame.com/sr/%E6%89%91%E6%BB%A1%E7%97%85%E6%AF%92Pro,99085,200,a1cb19ac93cdcdefe2cf4d4f98e32770f1b60e047b33a25e9e2daee54912419c,true,true,HTTP 567（限流/反爬）,,equipment-contact-02.png,第1行第4列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方V4.2仅支持骇客改件类别语义，不逐项支持16个子名称/图标,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
